,g,x,lnp_g(x),R_g
0,1,0,-2.775255517226153,0.0
1,1,1,-0.39278958690647064,1.0986122886681096
2,1,2,-2.8002196710414857,-0.6931471805599452
3,1,3,-2.727637009787511,-0.6931471805599452
4,1,4,-2.694754268204824,-0.6931471805599452
5,1,5,-2.677040261322664,-0.6931471805599452
6,2,0,-3.032178583843535,0.0
7,2,1,-4.032306573935549,-1.0986122886681102
8,2,2,-0.15525454503092584,1.2992829841302607
9,2,3,-3.679514792974507,-1.0986122886681102
10,2,4,-3.6466320513918213,-1.0986122886681102
11,2,5,-3.62891804450966,-1.0986122886681102
12,3,0,-3.2827583626410664,0.0
13,3,1,-4.606391179593154,-1.3862943611198906
14,3,2,-4.3261820598860865,-1.3862943611198906
15,3,3,-0.09471631527244057,1.3862943611198906
16,3,4,-4.220716657049426,-1.3862943611198906
17,3,5,-4.203002650167265,-1.3862943611198906
18,4,0,-3.496989231452715,0.0
19,4,1,-5.019594414873528,-1.6094379124341007
20,4,2,-4.7393852951664615,-1.6094379124341007
21,4,3,-4.666802633912487,-1.6094379124341007
22,4,4,-0.06713623574466536,1.4350845252893225
23,4,5,-4.6162058854476395,-1.6094379124341007
24,5,0,-3.649547491720689,0.0
25,5,1,-5.342829740208063,-1.7917594692280547
26,5,2,-5.062620620500995,-1.7917594692280547
27,5,3,-4.9900379592470205,-1.7917594692280547
28,5,4,-4.957155217664335,-1.7917594692280547
29,5,5,-0.052296403749950565,1.466337068793427
